Aa,Ab,Ac,Ad,Ae,Af,ST01,SU02,D03,ST04,SU05,D06,D07,SU08,ST09,SU10,D11,ST12,SU13,D14,D15,SU16,ST17,SU18,D19,ST20,SU21,D22,D23,SU24,ST25,SU26,D27,ST28,SU29,D30,D31,SU32,Ca,Cb,Cc,Cd,Ce,Cf,Cg,Ch,Da,Db,Dc,Dd,De,Df,Dg,Dh,Di,Dj,Age,Attitude,Points,gender,deep,surf,stra
4,1,2,2,3,2,4,4,4,2,2,4,3,2,4,1,3,2,4,4,4,2,4,3,4,4,1,3,3,4,4,5,3,2,3,4,4,5,1,5,4,2,3,3,3,3,2,4,4,4,4,1,3,3,3,4,25,32,19,M,3.5833333333333335,3,3.25
4,1,1,1,1,2,4,2,3,2,4,2,4,4,2,1,3,2,4,4,4,5,4,1,3,1,4,1,2,4,1,5,3,1,3,3,2,4,1,4,4,2,4,1,3,4,3,2,2,5,2,3,2,5,4,4,23,32,22,M,2.8333333333333335,3.4166666666666665,2.125
3,2,2,1,1,1,4,4,5,2,2,4,4,2,4,1,4,1,2,4,4,2,4,2,5,2,3,4,2,4,4,5,3,1,3,4,5,5,4,5,4,5,5,3,5,4,1,4,3,4,4,1,1,1,2,5,23,26,25,F,4,2.9166666666666665,2.75
3,2,1,1,2,2,3,4,4,2,2,3,4,4,1,3,4,3,2,4,3,4,4,2,2,1,3,2,2,4,3,5,3,2,2,2,2,4,2,4,4,4,3,3,4,4,2,3,2,3,3,1,3,2,2,2,23,23,21,F,2.9166666666666665,3.25,2.375
4,1,2,1,1,1,4,4,4,4,2,2,5,2,4,2,2,2,4,5,1,2,4,5,4,1,2,5,2,2,4,5,2,2,4,2,2,5,4,5,4,1,5,4,4,4,4,5,5,4,5,1,4,3,2,5,45,38,9,F,3,3.25,3.125
3,1,4,2,1,1,5,1,5,5,2,4,4,1,3,1,5,4,3,5,4,4,3,1,4,4,2,4,3,4,5,4,3,3,1,3,5,4,1,5,5,3,4,3,4,3,4,4,2,3,2,1,2,2,4,4,22,28,28,F,4.083333333333333,2.3333333333333335,4
2,1,2,1,1,1,5,2,4,2,4,3,5,2,4,1,3,5,3,4,2,5,3,1,4,4,2,1,2,5,4,5,2,5,4,1,4,5,5,5,4,5,5,2,3,5,2,2,2,5,3,2,2,5,5,5,23,33,25,F,2.9166666666666665,3.25,4
4,2,3,3,1,3,2,2,4,1,1,4,3,4,2,1,3,4,3,4,4,3,2,1,2,1,1,4,2,3,5,4,3,1,3,5,4,4,3,5,3,4,4,4,5,2,4,5,5,5,5,4,5,5,5,5,21,48,29,M,3.5,2.5,2.25
3,1,1,1,1,1,4,2,5,3,1,5,5,1,3,1,3,3,2,4,4,2,3,1,3,3,1,5,3,2,4,3,5,3,1,5,5,4,1,4,3,3,4,2,3,2,4,3,4,5,4,3,4,4,5,4,21,40,33,M,4.333333333333333,1.75,3.25
3,3,2,2,1,1,4,2,5,3,2,4,4,3,4,1,4,4,1,5,4,3,3,2,4,4,2,5,4,3,4,2,3,3,2,4,5,4,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,21,40,33,F,4.25,2.25,3.625
3,1,1,1,1,1,4,1,5,2,2,2,4,4,5,1,4,4,1,5,2,2,4,1,2,3,2,3,4,2,5,4,3,2,1,5,2,4,2,4,4,2,4,2,5,2,5,5,5,4,5,4,5,5,4,5,21,47,25,F,3.4166666666666665,2.0833333333333335,3.625
2,1,1,1,1,2,4,4,5,2,2,2,2,2,2,2,4,2,2,2,2,4,4,2,4,1,1,4,2,4,4,5,4,1,2,2,4,4,2,5,5,4,5,2,5,5,2,3,2,4,2,1,2,2,2,3,26,23,18,F,3.0833333333333335,2.8333333333333335,2.5
1,2,1,1,1,1,4,2,5,2,4,5,5,2,2,1,5,1,4,4,4,3,2,1,4,2,2,4,5,2,1,4,4,1,4,5,5,5,2,5,3,2,5,5,5,2,2,5,5,2,4,1,4,2,1,5,25,31,22,F,4.583333333333333,2.8333333333333335,1.875
4,2,2,1,2,1,2,2,4,1,2,3,4,2,1,1,2,2,2,4,4,2,2,2,4,2,4,4,1,2,4,4,2,2,2,5,4,4,2,4,4,2,4,4,4,4,2,4,4,2,2,1,2,4,2,4,26,27,17,F,3.4166666666666665,2.4166666666666665,2
4,1,2,2,2,2,3,1,4,2,2,2,4,4,3,2,4,1,2,3,3,2,2,1,4,1,1,4,3,2,2,5,3,1,1,3,4,4,3,4,3,3,4,3,5,4,3,4,4,5,4,5,3,5,4,4,21,41,25,M,3.4166666666666665,2.25,1.875
3,2,2,1,1,1,4,2,5,4,4,4,2,2,4,1,4,5,4,4,3,2,4,1,4,3,4,3,2,4,4,3,2,4,3,4,4,4,1,5,4,1,4,4,4,4,2,4,5,3,5,1,4,3,3,4,23,34,28,F,3.4166666666666665,2.8333333333333335,4
